model,train_cleaning,test_cleaning,score,train_test_split
gbr_8_4,dummy,dummy,0.48499482268327476,8
gbr_9_0,delete,delete,0.4571782480544584,9
gbr_9_1,mode,delete,0.45867372818713026,9
gbr_9_4,dummy,delete,0.4597987385330302,9
gbr_9_0,delete,mode,0.4778842530892303,9
gbr_9_1,mode,mode,0.4843826001044983,9
gbr_9_4,dummy,mode,0.48468597065008456,9
gbr_9_0,delete,dummy,0.4838446702331588,9
gbr_9_1,mode,dummy,0.4860136492949061,9
gbr_9_4,dummy,dummy,0.4945249082593697,9
gbr_10_0,delete,delete,0.4447301397839083,10
gbr_10_1,mode,delete,0.44219396391050625,10
gbr_10_4,dummy,delete,0.44614596911561666,10
gbr_10_0,delete,mode,0.4657069774911846,10
gbr_10_1,mode,mode,0.465358695609116,10
gbr_10_4,dummy,mode,0.4669009375313736,10
gbr_10_0,delete,dummy,0.4705726643521495,10
gbr_10_1,mode,dummy,0.47047463864929484,10
gbr_10_4,dummy,dummy,0.4796893217130622,10
gbr_11_0,delete,delete,0.44936713166922604,11
gbr_11_1,mode,delete,0.44950653335342405,11
gbr_11_4,dummy,delete,0.44962439193477144,11
gbr_11_0,delete,mode,0.4714228615445979,11
gbr_11_1,mode,mode,0.4735230265775052,11
gbr_11_4,dummy,mode,0.4727061056891202,11
gbr_11_0,delete,dummy,0.4714155682216289,11
gbr_11_1,mode,dummy,0.47369023912767816,11
gbr_11_4,dummy,dummy,0.4796954547180753,11
gbr_12_0,delete,delete,0.45737521196279185,12
gbr_12_1,mode,delete,0.45470481659633355,12
gbr_12_4,dummy,delete,0.4572304083233293,12
gbr_12_0,delete,mode,0.4785682726100835,12
gbr_12_1,mode,mode,0.4793020991927692,12
gbr_12_4,dummy,mode,0.47857449602561764,12
gbr_12_0,delete,dummy,0.48052006116381396,12
gbr_12_1,mode,dummy,0.4795444407275433,12
gbr_12_4,dummy,dummy,0.48816804465561714,12
gbr_13_0,delete,delete,0.447132040675548,13
gbr_13_1,mode,delete,0.4489926472829825,13
gbr_13_4,dummy,delete,0.44838798474532526,13
gbr_13_0,delete,mode,0.4691140543069937,13
gbr_13_1,mode,mode,0.4780561599896572,13
gbr_13_4,dummy,mode,0.47114223479040696,13
gbr_13_0,delete,dummy,0.473663736350426,13
gbr_13_1,mode,dummy,0.47685284325569877,13
gbr_13_4,dummy,dummy,0.4841563321255571,13
gbr_14_0,delete,delete,0.4411126769982523,14
gbr_14_1,mode,delete,0.4409652528730996,14
gbr_14_4,dummy,delete,0.4413448200174348,14
gbr_14_0,delete,mode,0.46251089295035974,14
gbr_14_1,mode,mode,0.46384801420678856,14
gbr_14_4,dummy,mode,0.4638048815253363,14
gbr_14_0,delete,dummy,0.46748616152200384,14
gbr_14_1,mode,dummy,0.46881473718404043,14
gbr_14_4,dummy,dummy,0.4768017770354116,14
gbr_15_0,delete,delete,0.47259166469593794,15
gbr_15_1,mode,delete,0.4727974633016827,15
gbr_15_4,dummy,delete,0.47331880236268864,15
gbr_15_0,delete,mode,0.4879100065476156,15
gbr_15_1,mode,mode,0.49704148166851736,15
gbr_15_4,dummy,mode,0.48962688216498373,15
gbr_15_0,delete,dummy,0.4943274217534669,15
gbr_15_1,mode,dummy,0.49681605720962185,15
gbr_15_4,dummy,dummy,0.5039527228330775,15
gbr_16_0,delete,delete,0.4603828774347277,16
gbr_16_1,mode,delete,0.46031687767685014,16
gbr_16_4,dummy,delete,0.46003896323476834,16
gbr_16_0,delete,mode,0.48072777951743717,16
gbr_16_1,mode,mode,0.4833509871081991,16
gbr_16_4,dummy,mode,0.4819719831886138,16
gbr_16_0,delete,dummy,0.4832588618640604,16
gbr_16_1,mode,dummy,0.4848025240122631,16
gbr_16_4,dummy,dummy,0.49192452445774304,16
gbr_17_0,delete,delete,0.4368446107520322,17
gbr_17_1,mode,delete,0.4365392321131255,17
gbr_17_4,dummy,delete,0.437719869793208,17
gbr_17_0,delete,mode,0.45561361822831015,17
gbr_17_1,mode,mode,0.45848854814553364,17
gbr_17_4,dummy,mode,0.4580824994251572,17
gbr_17_0,delete,dummy,0.4600236546799157,17
gbr_17_1,mode,dummy,0.4616537082665185,17
gbr_17_4,dummy,dummy,0.47033621244084634,17
gbr_18_0,delete,delete,0.454622062420697,18
gbr_18_1,mode,delete,0.45349152261714853,18
gbr_18_4,dummy,delete,0.4528857449248611,18
gbr_18_0,delete,mode,0.46574266415334764,18
gbr_18_1,mode,mode,0.46882146106749256,18
gbr_18_4,dummy,mode,0.46652438845976774,18
gbr_18_0,delete,dummy,0.47147490645951395,18
gbr_18_1,mode,dummy,0.4729761248433979,18
gbr_18_4,dummy,dummy,0.4785958285560339,18
gbr_19_0,delete,delete,0.44908888531956315,19
gbr_19_1,mode,delete,0.4505780493268233,19
gbr_19_4,dummy,delete,0.452742041359558,19
gbr_19_0,delete,mode,0.46976100507322227,19
gbr_19_1,mode,mode,0.4796413093780363,19
gbr_19_4,dummy,mode,0.4738409820025704,19
gbr_19_0,delete,dummy,0.47464105269871726,19
gbr_19_1,mode,dummy,0.47781620703328154,19
gbr_19_4,dummy,dummy,0.48615790271153136,19
